local_polo,campus_id,name,local_bloco_polo,capacidade,id,permite_reserva,informacoes_adicionais,responsavel_ids
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Sala 1 - VÍDEO,"[1, 'A']",30,53,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Sala 17,"[1, 'A']",15,54,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LAMP,"[3, 'C']",20,55,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Reunião 2,"[2, 'B']",25,56,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Reunião 4,"[2, 'B']",15,57,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Sala 23,"[3, 'C']",18,58,True,False,[2006]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",CID,"[1, 'A']",20,59,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Sala 2,"[2, 'B']",13,60,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LaPEC,"[3, 'C']",30,61,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LECC,"[3, 'C']",30,62,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LAB 3 - NTI,"[1, 'A']",25,63,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LAB 2 - NTI,"[1, 'A']",25,64,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LAB 1 - NTI,"[1, 'A']",25,65,True,False,"[1783, 1815, 1906]"
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Sala de Reuniões,"[4, u'COORDENA\xc7\xd5ES']",25,66,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Indefinido Bloco A,"[1, 'A']",100,67,True,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Indefinido Bloco B,"[2, 'B']",100,68,True,False,[]
