name,is_active,polo_id,sigla
NTI,True,Arapiraca,NTI
SECRETARIA DE CURSOS,True,Arapiraca,SC
NÚCLEO PEDAGÓGICO,True,Arapiraca,NP
BIBLIOTECA,True,Arapiraca,BBL
CRCA,True,Arapiraca,CRCA
NAE,True,Arapiraca,NAE
COORDENADORIA DE RECURSOS HUMANOS,True,Arapiraca,CDR
DSG-PATRIMÔNIO,True,Arapiraca,DSG-PAT
DIREÇÃO ACADÊMICA,True,Arapiraca,DIR-ACA
LICENÇA CAPACITAÇÃO,True,Arapiraca,LICAP
COINFRA,True,Arapiraca,COINFRA
SECRETARIA EXECUTIVA,True,Arapiraca,SE
SETOR DE TRANSPORTES,True,Arapiraca,ST
SECRETARIA DO CONSELHO,True,Arapiraca,SC
APOIO AO TRABALHADOR E ESTUDANTE,True,Arapiraca,ATE
TRANSPORTES,True,Arapiraca,TRA
ADMINISTRAÇÃO,True,Arapiraca,ADM
DSG-ALMOXARIFADO,True,Arapiraca,DSG-ALM
COORDENADORIA DE GRADUAÇÃO,True,Arapiraca,COGRAD
Biblioteca-VIC,True,Viçosa,BIB VIC
DIREÇÃO GERAL,True,Arapiraca,DIR GER
