polo_id,campus_id,name,bloco_id,capacidade,permite_reserva
ARAPIRACA,CAMPUS ARAPIRACA,Sala 1 - VÍDEO,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,Sala 17,A,15,True
ARAPIRACA,CAMPUS ARAPIRACA,LAMP,C,20,True
ARAPIRACA,CAMPUS ARAPIRACA,Reunião 2,B,25,True
ARAPIRACA,CAMPUS ARAPIRACA,Reunião 4,B,15,True
ARAPIRACA,CAMPUS ARAPIRACA,Sala 23,C,18,True
ARAPIRACA,CAMPUS ARAPIRACA,CID,A,20,True
ARAPIRACA,CAMPUS ARAPIRACA,Sala 2,B,13,True
ARAPIRACA,CAMPUS ARAPIRACA,LECC 2,C,30,True
ARAPIRACA,CAMPUS ARAPIRACA,LECC 1,C,30,True
ARAPIRACA,CAMPUS ARAPIRACA,LAB 1 - NTI,A,25,True
ARAPIRACA,CAMPUS ARAPIRACA,Sala de Reuniões,COORDENAÇÕES,25,True
ARAPIRACA,CAMPUS ARAPIRACA,Indefinido Bloco A,A,100,True
ARAPIRACA,CAMPUS ARAPIRACA,Indefinido Bloco B,B,100,True
ARAPIRACA,CAMPUS ARAPIRACA,Indefinido Bloco C,C,100,True
PENEDO,CAMPUS ARAPIRACA,Indefinido PENEDO,Central Penedo,100,True
PALMEIRA DOS ÍNDIOS,CAMPUS ARAPIRACA,Indefinido Palmeira,Central Palmeira,100,True
ARAPIRACA,CAMPUS ARAPIRACA,CIRCULAÇAO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,REPROGRAFIA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA DE CURSOS,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SEGURANÇA ,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE REGISTRO E CONTROLE ACADÊMICO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,DEPARTAMENTO DE SERVIÇOS GERAIS E PATRIMONIO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA EXECUTIVA ,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,ADMINISTRAÇAO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COPA ADMINISTRAÇÃO,Administrativo Arapiraca,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE QUÍMICA,Administrativo Arapiraca,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE FÍSICA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE ZOOTECNIA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DO TRONCO INICIAL,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE AGRONOMIA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC PRIVATIVO 1,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC PRIVATIVO 2,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC FEMININO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC MASCULINO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA CRCA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,CRCA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,ARQUIVO CRCA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA DIREÇÃO ACADÊMICA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,DIREÇÃO ACADÊMICA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC DIREÇÃO ACADÊMICA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,ARQUIVO DIREÇÃO ACADÊMICA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA 1,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 1,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 2,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 3,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA 2,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 4,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 5,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 6,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA 3,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 7,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 8,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 9,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA 4,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 10,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 11,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 12,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA 5,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 13,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 14,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 15,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,REUNIÃO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA DE NÚCLEO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,NÚCLEO 1,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,NÚCLEO 2,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,NÚCLEO 3,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COPA COORDENAÇÕES,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC MASCULINO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC FEMININO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,CIRCULAÇÃO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,ACESSO PRINCIPAL,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,Laboratório de Química,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE CIENCIAS,COORDENAÇÕES,30,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE ENFERMAGEM,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE ZOOETECNIA E AGRONOMIA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,GRUPO  DE ENFERMAGEM ,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,ANTESALA AUDITORIO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,AUDITORIO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA DE MULTIMÍDIA ,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA DE AULA TIPO 1,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA DE AULA TIPO 2,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE FISICA,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC FEMININO,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC MASCULINO,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE EDUCAÇAO FISICA 1,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA DE PRANCHETAS 1,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA DE PRANCHETAS 2,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE EDUCAÇÃO FISICA 2,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,ALMOXARIFADO,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC FEMININO,BLOCO L,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC MASCULINO,BLOCO L,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE ANATOMIA,BLOCO L,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE ENSINO DE  MATEMATICA,BLOCO L,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO SINTESE ORGANICA MEDICINAL,BLOCO L,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LOBORATORIO BIOSPECKLE,BLOCO L,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO HOLOGRAFIA,BLOCO L,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO PRATICAS PEDAGÓGICAS EM CIENCIAS BIOLOGICAS E DE SAUDE,BLOCO L,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE QUIMICA DOS SOLOS,LABORATORIOS DE CIENCIAS AGRÁRIAS,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE FISICA DOS SOLOS ,LABORATORIOS DE CIENCIAS AGRÁRIAS,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE ENTOMOLOGIA,LABORATORIOS DE CIENCIAS AGRÁRIAS,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE RECURSOS GENETICOS,LABORATORIOS DE CIENCIAS AGRÁRIAS,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE FITOPATOLOGIA,LABORATORIOS DE CIENCIAS AGRÁRIAS,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE METEOROLOGIA ,LABORATORIOS DE CIENCIAS AGRÁRIAS,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE FISIOLOGIA VEGETAL,LABORATORIOS DE CIENCIAS AGRÁRIAS,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COPA LAB CIENCIAS AGRÁRIAS,LABORATORIOS DE CIENCIAS AGRÁRIAS,0,False
ARAPIRACA,CAMPUS ARAPIRACA,REPOGRAFIA,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC FEMININO,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,WC MASCULINO,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA DE PROFESSOR TIPO 1,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA DE PROFESSOR  TIPO 2,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE INFORMATICA  CID,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE INFORMATICA  CIENCIA DA COMPUTAÇÃO ,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATORIO DE INFORMATICA  ARQUITETURA,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LAMP GRUPO DE PESQUISA COMPUTAÇÃO,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,G PESQUISA ENFERMAGEM PROSAUDE,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE EXTENSÃO E CULTURA,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COPA BLOCO C,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,EMPRESA JR ADMINISTRAÇÃO,C,0,False
ARAPIRACA,CAMPUS ARAPIRACA,Núcleo de Tecnologia da Informação,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SALA 01 - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 02 - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 03 - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 4A - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 4B - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 5A - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 5B - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 6A - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 6B - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 07 - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 08 - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 09 - BLOCO A,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 10,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 11,A,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 13 - BLOCO B,B,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 15 - BLOCO B,B,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 17 - BLOCO B,B,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 18 - BLOCO B,B,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 19 -BLOCO B,B,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 20 - BLOCO B,B,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 21 - BLOCO B,B,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 22 - BLOCO B,B,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 25 - BLOCO C,C,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 26 - BLOCO C,C,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 27 - BLOCO C,C,30,True
ARAPIRACA,CAMPUS ARAPIRACA,SALA 28 - BLOCO C,C,30,True
ARAPIRACA,CAMPUS ARAPIRACA,BIBLIOTECA,A,0,False
ARAPIRACA,CAMPUS ARAPIRACA,BIBLIOTECA,A,50,False
ARAPIRACA,CAMPUS ARAPIRACA,COGRAD,COORDENAÇÕES,40,False
ARAPIRACA,CAMPUS ARAPIRACA,PLANEJAMENTO E AVALIAÇÃO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,PROJETO E OBRAS,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SIASS,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,PROTOCOLO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO EDUCAÇÃO FÍSICA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO MATEMÁTICA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE CIENCIA DA COMPUTAÇÃO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE ARQUITETURA E URBANISMO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE BIOLOGIA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,LABORATÓRIO DE BIOLOGIA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SETOR DE COMPRAS,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE RECURSOS HUMANOS,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE ENFERMAGEM,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE MEDICINA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE PEDAGOGIA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO EAD DE QUÍMICA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE ADMINISTRAÇÃO,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE ADMINISTRAÇÃO PÚBLICA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE LETRAS,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,SECRETARIA 6,BLOCO L,0,False
ARAPIRACA,CAMPUS ARAPIRACA,COORDENAÇÃO DE INFRAESTRUTURA,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,DIREÇÃO GERAL,COORDENAÇÕES,0,False
ARAPIRACA,CAMPUS ARAPIRACA,NTI - MANUTENÇÃO,A,0,False
VIÇOSA,CAMPUS ARAPIRACA,Administração,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,NAE,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,CRCA,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Laboratório Multidisciplinar,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Biblioteca,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Secretaria Executiva,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Laboratório de Biologia,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Laboratório de Microscopia,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Laboratório de Doenças Parasitárias,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Laboratório de Química,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Laboratório de Anatomia,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Casa do Hóspede,Casa do Hóspede,0,False
VIÇOSA,CAMPUS ARAPIRACA,Ambulatório,Administrativo,0,False
VIÇOSA,CAMPUS ARAPIRACA,Laboratório de Experimentação Alimentícia,Administrativo,10,True
VIÇOSA,CAMPUS ARAPIRACA,Sala de Professor,Administrativo,0,False
