polo_id;tipo_id;tipo;autorizar_publicacao;curso_indefinido;curso;curso_indefinido_detalhes;ano_pub;ud_campus_id;contato;id;autor;palavras_chave_ids;area_ids;visualizacoes;coorientador_ids;autor_id;categoria_cnpq_id;anexo_ids;orientador_ids;name
ARAPIRACA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;CIÊNCIA DA COMPUTAÇÃO;False;2016;CAMPUS ARAPIRACA;False;999;Sousa, Igor de Sá;Cidades inteligentes,Água,Water;;8;;Sousa, Igor de Sá;False;;Afonso, Ricardo Alexandre;Smart cities: a comprehensive systematic literature review
ARAPIRACA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;CIÊNCIA DA COMPUTAÇÃO;False;2016;CAMPUS ARAPIRACA;False;1001;Lima, Igor Conrado Alves de;Atributos de qualidade, Monitoramento de software, Programação orientada a aspectos,Arcabolço de software;;6;;Lima, Igor Conrado Alves de;False;[1158];Brito, Patrick Henrique da Silva;QuAM Framework: solução extensível para monitoramento de software orientado a aspectos e objetos
ARAPIRACA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;AGRONOMIA;False;2016;CAMPUS ARAPIRACA;False;1010;Santos, Wellington Manoel dos;Ananas comosus,Variedades,Nutrição de planta;;5;;Santos, Wellington Manoel dos;False;[1167];Santos Neto, Antônio Lucrécio dos;Análise de crescimento e produção de cultivares de abacaxi sob diferentes sistemas de adubações
VIÇOSA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;MEDICINA VETERINÁRIA;False;2016;CAMPUS ARAPIRACA;False;1004;Fonseca, Lucas Santana da;Doenças parasitárias,Morinda citrifolia L. (NONI),Alho ,Fitoterápicos ;;1;Nascimento, Glaucia Grazielle;Fonseca, Lucas Santana da;False;[1161];PORTO SOBRINHO, José Wilson Nascimento;Atividade anti-helmíntica do Allium sativum L. (alho) e Morinda citrifolia L. (noni) em ovinos naturalmente infectados
ARAPIRACA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;CIÊNCIAS BIOLÓGICAS;False;2016;CAMPUS ARAPIRACA;False;1011;Silva, Elizabete Cristina Araújo;Conhecimento popular,Prioridades de conservação,Recursos vegetais;;4;;Silva, Elizabete Cristina Araújo;False;[1168];Silva, Henrique Costa Hermenegildo da;Importância cultural de plantas em lotes de produção no assentamento Dom Hélder Câmara em Girau do Ponciano - Alagoas: etnoconservação e manejo.
ARAPIRACA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;LETRAS;False;2016;CAMPUS ARAPIRACA;False;989;Silva, Eliane Nunes da;Oralidade e escrita,Processo de alfabetização,Língua materna,Letras e fonemas;;2;;Silva, Eliane Nunes da;False;[1145];Silva, Elias André da;A (não) relação fala x escrita e sua influência no processo de alfabetização
ARAPIRACA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;ADMINISTRAÇÃO PÚBLICA;False; 2015;CAMPUS ARAPIRACA;False;830;Silva, Daniella Carvalho da ;Controle social,Serviço público,Participação popular,Iluminação pública;;8;;Silva, Daniella Carvalho da ;False;[989];Miranda, Renato;A política de iluminação pública de Arapiraca e a possibilidade de participação dos cidadãos
ARAPIRACA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;ENFERMAGEM;False;2015;CAMPUS ARAPIRACA;False;677;Matias, Vanessa Danielle da Silva;Mulheres,Comportamento reprodutivo,Soropositividade para HIV;;1;Santos, Marcella do Carmo;Matias, Vanessa Danielle da Silva;False;[821];Dias, Renise Bastos Farias;O desejo reprodutivo sob o olhar de mulheres soropositivas - HIV
ARAPIRACA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;ENFERMAGEM;False;2015;CAMPUS ARAPIRACA;False;676;Francisco, Leilane Camila Ferreira de Lima;Saúde mental,Saúde do trabalhador,Absenteísmo;;1;Bezerra, Daniele Gonçalves ;Francisco, Leilane Camila Ferreira de Lima;False;[820];Alves, Verônica de Medeiros;Afastamento do trabalho por transtornos mentais em um município do interior de Alagoas
ARAPIRACA;TCC - Trabalho de Conclusão de Curso;tcc;True;False;ENFERMAGEM;False;2015;CAMPUS ARAPIRACA;False;675;Santos, Fabiana Barauna;Saúde mental,Enfermeiro,Família ,Esquizofrenia;;1;;Santos, Fabiana Barauna;False;[819];Alves, Verônica de Medeiros;Esquisofrenia no contexto familiar
