publicacao_id,name,id
[350],Biotecnologia,1
[1969],Irrigação,2
[],Técnicas,4
[],Computação,9
[499],Biblioteca,10
[57],Leite humano,11
[27],Doação de leite,12
"[1334, 1341, 518]",Percepção,13
[34],Cuidadores,14
"[2085, 679, 4]",Relações familiares,15
"[1288, 821, 831, 1049, 1086, 1066, 491, 1152, 1287, 727, 1116]",Idosos,16
"[1550, 683, 5]",Gestante,17
[5],Prevenção de doenças,18
"[2071, 2079, 1564, 509]",HIV,19
"[2073, 1316, 1550, 1563, 1564, 681, 682, 773, 852, 687, 669, 670, 674, 678, 508]",Enfermagem,20
"[1167, 1448, 1559, 6]",Tuberculose,21
752,Adesão ao tratamento,22
[7],Automedicação,23
"[1895, 1302, 510, 797, 583, 123]",Crianças,24
[7],Pais-Responsáveis,25
"[2082, 1391, 844, 788, 35, 909]",Violência contra a mulher,26
"[2082, 2086, 1195, 1483, 1563, 671, 666, 1033, 120]",Saúde da mulher,27
"[1175, 1251, 1269, 1559, 569, 66]",Epidemiologia,28
[291],População indígena,29
[],Saúde da população indígena,30
[9],Saúde das populações indígenas,31
[33],Hipertensão,32
"[1315, 1536, 1563, 10]",Parto humanizado,33
"[1550, 671, 81]",Trabalho de parto,34
"[2023, 1004, 510]",Doenças parasitárias,35
1008,Higiene,36
"[1730, 1986, 1037, 1185, 1595, 1557, 706, 783, 675, 676, 680, 689, 1090, 1057, 707, 1149, 741, 1104, 1190, 892, 1099, 918]",Saúde mental,37
[12],Policiais,38
"[1557, 1558, 404, 1187]",Ansiedade,39
[12],Transtorno bipolar,40
"[1924, 1515, 1517, 1522, 73]",Acidentes de trânsito,41
"[1515, 1522, 15]",Motocicletas,42
[13],Consequência de acidente,43
[13],Capacidade funcional,44
"[705, 969, 910, 396, 1130, 1075]",Sexualidade,45
"[2086, 1304, 1315, 670, 756, 78]",Educação em saúde,46
69,Cuidado pré-natal,47
[14],Gravidez,48
[15],Assunção de rsicos,49
[133],Estudantes,50
"[1171, 703, 513]",Adolescente,51
[16],Tecnologia da educação,52
"[1785, 1799, 1276, 1520, 16]",Promoção da saúde,53
"[2088, 1603, 1694, 1604, 1522, 1526, 1561, 54]",Depressão,54
[17],Depressão puerperal,55
"[1639, 1561, 641, 17]",Suicídio,56
24,Música,57
"[2079, 2013, 668, 687, 512]",Cuidados de enfermagem,58
[24],Terapias complementares,59
[18],Humanização de assistência,60
[63],Recém-nascido,61
[19],Baixo peso ao nascer,62
[20],Processo de enfermagem,63
[37],Atenção primária a saúde,64
81,Enfermeiro,65
[21],História da enfermagem,66
[21],Mercado e enfermagem,67
21,Trabalho-Marxismo,68
"[1045, 22, 1138]",Saúde da família,69
[27],Amamentação,70
[57],Banco de leite humano,71
[23],Mídia,72
"[673, 979, 23]",Discurso,73
[24],Neonatologia,74
116,Criança ,75
"[1523, 1565, 25]",Gestação,76
26,Acidentes por quedas,77
"[1647, 1840, 2085, 2088, 755, 773, 493]",Idoso ,78
26,Mortalidade,79
[68],Aleitamento humano,80
[27],Unidade de Saúde da Família,81
[27],Nutrizes,82
[28],Percepção de crianças,83
[28],Hospitalização infantil,84
[66],Doença,85
"[681, 685, 28]",Saúde ,86
[48],Fenômenos cronobiológicos,87
[517],Polícia,88
"[1208, 641, 107, 1190]",Transtornos mentais,89
[30],Desinstitucionalização,90
[30],Tempo de internação,91
[],Defesa da criança,92
[31],Defesa da criança e do adolescente,93
1062,Violência,94
[97],Ansiedade-estudantes-ensino médio,95
[33],Urgência,96
[33],Emergência,97
[34],Cuidados paliativos,98
"[1985, 1042, 35]",Violência sexual,99
[36],Adolescente institucionalizado,100
284,Saúde do homem,101
"[1647, 1867, 1331, 1359, 1399, 1526, 1558, 640, 703, 821, 94, 113, 323]",Qualidade de vida,102
