name,publicacao_ids,id
TCC - Trabalho de Conclusão de Curso,"[1016, 1010, 1021, 1022, 1004, 989, 999, 1011, 1001, 830, 674, 673, 672, 671, 670, 669, 668, 667, 666, 665, 664, 991, 663, 662, 660, 990, 659, 988, 987, 658, 964, 963, 657, 962, 961, 656, 960, 655, 654, 653, 651, 650, 959, 956, 953, 952, 649, 648, 951, 647, 948, 646, 947, 944, 943, 645, 644, 643, 642, 890, 641, 640, 637, 889, 636, 634, 633, 629, 628, 627, 626, 625, 624, 623, 621, 620, 619, 618, 617, 616, 615, 888, 885, 614, 612, 611, 610, 609, 608, 607, 603, 602, 601, 600, 596, 884, 595, 883, 882, 594, 881, 880, 879, 593, 592, 590, 588, 587, 586, 585, 877, 584, 578, 574, 573, 572, 571, 570, 569, 565, 553, 546, 544, 876, 543, 538, 536, 530, 875, 874, 873, 872, 871, 870, 869, 868, 867, 866, 865, 864, 863, 862, 861, 860, 859, 858, 857, 856, 855, 854, 853, 852, 851, 850, 849, 848, 847, 846, 845, 844, 843, 842, 841, 840, 839, 838, 836, 835, 834, 832, 831, 829, 828, 825, 824, 823, 822, 821, 820, 819, 818, 817, 816, 815, 814, 813, 812, 811, 810, 809, 806, 805, 804, 787, 785, 783, 782, 1024, 781, 779, 777, 1023, 986, 776, 775, 985, 774, 773, 772, 771, 984, 1019, 983, 982, 980, 770, 769, 768, 767, 766, 765, 764, 763, 762, 761, 760, 759, 758, 757, 756, 755, 754, 753, 979, 978, 977, 976, 975, 974, 973, 751, 750, 972, 971, 749, 970, 969, 968, 967, 747, 966, 965, 745, 1018, 737, 1017, 735, 1015, 708, 1014, 706, 705, 704, 1013, 703, 702, 701, 1006, 1005, 1003, 700, 1002, 1000, 998, 997, 996, 995, 699, 994, 698, 993, 697, 696, 695, 694, 690, 992, 689, 688, 687, 686, 684, 685, 683, 682, 681, 680, 679, 678, 677, 676, 675, 508, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 53, 54, 56, 58, 60, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 205, 209, 210, 213, 214, 219, 220, 221, 222, 223, 224, 243, 244, 245, 246, 247, 248, 249, 252, 253, 255, 256, 257, 258, 260, 261, 263, 265, 267, 268, 270, 274, 277, 279, 280, 281, 282, 283, 285, 286, 287, 288, 289, 290, 291, 293, 295, 298, 304, 331, 335, 336, 338, 339, 341, 342, 344, 345, 347, 353, 354, 355, 356, 359, 361, 363, 364, 365, 370, 374, 392, 393, 406, 408, 409, 411, 412, 413, 421, 434, 440, 441, 444, 458, 459, 460, 462, 463, 466, 467, 469, 470, 471, 473, 474, 475, 478, 479, 480, 483, 484, 485, 487, 488, 497, 498, 502, 503, 507, 4, 509, 510, 511, 512, 513, 514, 515, 516, 517, 518, 519, 521, 522, 524, 525, 526, 527, 528, 529, 531, 532, 533, 534, 535, 537, 539, 540, 541, 542, 545, 547, 548, 549, 550, 551, 552, 554, 555, 556, 557, 558, 559, 561, 562, 563, 564, 566, 567, 568, 575, 576, 577, 579, 580, 581, 582, 589, 591, 597, 598, 599, 604, 605, 606, 613, 630, 631, 632, 635, 652, 707, 709, 713, 729, 730, 736, 738, 739, 740, 741, 742, 743, 744, 746, 748, 752, 780, 786, 788, 789, 795, 796, 797, 798, 833, 886, 887, 908, 910, 914, 927, 930, 931, 932, 933, 934, 935, 939, 941, 942, 945, 950, 954, 955, 957, 958, 1007, 1008, 1009, 122, 112, 416, 111, 414, 410, 407, 110, 109, 108, 404, 399, 398, 397, 390, 387, 384, 381, 380, 379, 378, 377, 376, 375, 373, 638, 372, 371, 369, 368, 367, 362, 352, 351, 350, 348, 346, 343, 333, 301, 294, 284, 278, 276, 275, 273, 269, 714, 716, 719, 731, 733, 266, 981, 262, 52, 251, 250, 50, 240, 226, 225, 218, 217, 215, 212, 211, 208, 207, 206, 203, 784, 48, 46, 793, 45, 44, 43, 42, 801, 802, 803, 194, 191, 190, 188, 179, 177, 175, 41, 174, 172, 168, 167, 166, 165, 164, 151, 149, 148, 146, 145, 144, 143, 142, 141, 140, 139, 138, 443, 137, 445, 446, 453, 454, 457, 461, 464, 130, 129, 128, 127, 472, 126, 125, 40, 476, 39, 124, 123, 481, 482, 417, 891, 892, 893, 894, 491, 493, 494, 895, 896, 499, 897, 898, 504, 506, 900, 901, 902, 903, 906, 38, 909, 37, 520, 913, 36, 523, 915, 917, 436, 35, 928, 34, 435, 433, 33, 432, 22, 21, 20, 32, 936, 431, 938, 31, 940, 30, 29, 121, 560, 120, 28, 119, 118, 27, 117, 116, 426, 425, 424, 115, 26, 25, 423, 114, 24, 23, 113, 583, 422, 418, 59, 465, 131, 438, 189, 505, 403, 826, 396, 923, 924, 925, 907, 926, 357, 349, 157, 156, 337, 155, 307, 154, 297, 153, 152, 430, 150, 427, 911, 272, 147, 710, 912, 715, 486, 717, 722, 723, 724, 726, 727, 728, 66, 65, 929, 490, 64, 264, 63, 62, 61, 57, 55, 492, 51, 254, 429, 241, 495, 234, 233, 232, 231, 230, 229, 228, 227, 496, 916, 49, 918, 455, 500, 47, 792, 501, 160, 159, 201, 158, 134, 450, 451, 452, 271, 69, 442, 68, 428, 711, 712, 67, 242, 239, 718, 419, 720, 919, 238, 237, 200, 920, 468, 236, 725, 235, 415, 405, 133, 402, 79, 78, 77, 204, 921, 135, 395, 76, 391, 178, 389, 899, 386, 176, 382, 922, 173, 75, 73, 72, 732, 171, 71, 170, 169, 437, 489, 734, 163, 162, 360, 358, 161, 70, 420, 334, 332, 447, 132, 448, 216, 439, 449, 259, 199, 192, 198, 196, 195, 400, 193, 799, 721, 340, 401, 180, 366, 790, 136, 904, 394, 456, 181, 182, 791, 937, 183, 184, 383, 185, 186, 187, 477, 388, 385, 794, 202, 800, 325, 322, 327, 326, 324, 323, 319, 302, 320, 308, 299, 300, 311, 313, 314, 328, 329, 312, 330, 303, 315, 316, 317, 318, 306, 309, 305, 321, 310, 1633, 1632, 1623, 1621, 1618, 1615, 1986, 1985, 1984, 1612, 1910, 1991, 1610, 1607, 1990, 1989, 2056, 1988, 1905, 1994, 1993, 1604, 1992, 1904, 1603, 1589, 1567, 1543, 1542, 1987, 1903, 1899, 1897, 1895, 1892, 1890, 1885, 1884, 1880, 1879, 1877, 1876, 1875, 1801, 1800, 1799, 1794, 1791, 1786, 1785, 1784, 1783, 1782, 1781, 1780, 1776, 1775, 1773, 1772, 1771, 1770, 1769, 1768, 1767, 1766, 1765, 1764, 1762, 1761, 1759, 1755, 1754, 1750, 1749, 1748, 1747, 1746, 1745, 1744, 1743, 1742, 1739, 1737, 1734, 1733, 1732, 1731, 1730, 1729, 1728, 1727, 1726, 1725, 1722, 1721, 1720, 1719, 1718, 1717, 1716, 1715, 1713, 1711, 1706, 1700, 1699, 1698, 1697, 1696, 1695, 1694, 1693, 1692, 1691, 1690, 1688, 1686, 1684, 1679, 1677, 1673, 1670, 1667, 1654, 1653, 1652, 1651, 1647, 1646, 1643, 1640, 1639, 1637, 1636, 1505, 1027, 1034, 1036, 1037, 1038, 1044, 1045, 1046, 1047, 1048, 1050, 1051, 1052, 1054, 1166, 1167, 1168, 1170, 1171, 1174, 1175, 1178, 1179, 1180, 1181, 1182, 1185, 1186, 1405, 1406, 1407, 1408, 1409, 1410, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1422, 1423, 1424, 1425, 1432, 1434, 1435, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448, 1449, 1450, 1452, 1453, 1454, 1455, 1456, 1457, 1458, 1459, 1460, 1461, 1462, 1463, 1465, 1466, 1467, 1468, 1469, 1470, 1471, 1472, 1473, 1474, 1475, 1477, 1478, 1479, 1480, 1481, 1482, 1483, 1484, 1485, 1486, 1487, 1488, 1489, 1490, 1491, 1492, 1493, 1494, 1495, 1496, 1497, 1498, 1499, 1500, 1501, 1502, 1503, 1504, 1506, 1507, 1508, 1511, 1512, 1513, 1514, 1515, 1516, 1517, 1518, 1520, 1522, 1523, 1524, 1525, 1526, 1528, 1530, 1533, 1534, 1535, 1536, 1537, 1538, 1540, 1541, 1544, 1545, 1546, 1547, 1548, 1550, 1553, 1554, 1555, 1556, 1557, 1558, 1559, 1560, 1561, 1562, 1563, 1564, 1565, 1566, 1568, 1569, 1570, 1571, 1572, 1573, 1574, 1575, 1576, 1577, 1578, 1579, 1580, 1581, 1582, 1583, 1587, 1588, 1590, 1591, 1592, 1593, 1595, 1596, 1597, 1598, 1599, 1600, 1601, 1602, 1605, 1606, 1613, 1614, 1616, 1620, 1622, 1626, 1627, 1628, 1629, 1630, 1631, 1634, 1638, 1642, 1644, 1650, 1671, 1672, 1678, 1680, 1681, 1682, 1687, 1701, 1702, 1703, 1704, 1705, 1709, 1710, 1712, 1723, 1724, 1741, 1752, 1753, 1756, 1757, 1758, 1763, 1787, 1878, 1883, 1893, 1913, 1195, 1197, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1216, 1217, 1225, 1226, 1228, 1229, 1231, 1232, 1234, 1235, 1236, 1237, 1242, 1243, 1244, 1251, 1252, 1253, 1255, 1258, 1261, 1264, 1265, 1266, 1269, 1270, 1275, 1276, 1277, 1278, 1279, 1280, 1281, 1282, 1283, 1284, 1285, 1286, 1288, 1289, 1290, 1291, 1292, 1293, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1304, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1315, 1316, 1317, 1318, 1319, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1330, 1331, 1332, 1333, 1334, 1335, 1336, 1337, 1338, 1340, 1341, 1342, 1344, 1345, 1347, 1348, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356, 1357, 1358, 1359, 1360, 1361, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1382, 1385, 1386, 1387, 1388, 1389, 1390, 1391, 1392, 1393, 1394, 1395, 1396, 1397, 1398, 1399, 1400, 1401, 1402, 1403, 1404, 1274, 1031, 1224, 1594, 1028, 1531, 1796, 1035, 1199, 1049, 1213, 1464, 1233, 1200, 1214, 1215, 1802, 1384, 1383, 1381, 1294, 1295, 1296, 1551, 1201, 1026, 1033, 1053, 1649, 1039, 1043, 1305, 1238, 1239, 1240, 1241, 1668, 1521, 1030, 1314, 1218, 1040, 1245, 1246, 1247, 1320, 1029, 1248, 1249, 1683, 1250, 1219, 1173, 1205, 1329, 1172, 1254, 1169, 1256, 1025, 1257, 1220, 1259, 1032, 1339, 1260, 1221, 1262, 1263, 1165, 1222, 1164, 1268, 1223, 1163, 1271, 1042, 1091, 1124, 1129, 1125, 1059, 1058, 1126, 1057, 1056, 1128, 1188, 1090, 1055, 1089, 1127, 1088, 1087, 1086, 1085, 1084, 1083, 1082, 1081, 1194, 1196, 1095, 1041, 1100, 1101, 1189, 1105, 1106, 1092, 1072, 1198, 1110, 1160, 1159, 1111, 1158, 1157, 1648, 1065, 1150, 1149, 1148, 1147, 1146, 1203, 1145, 1144, 1119, 1192, 1120, 1061, 1121, 1204, 1060, 1193, 1122, 1585, 1123, 1136, 1135, 1586, 1133, 1131, 1689, 1093, 1080, 1187, 1790, 1071, 1069, 1287, 1066, 1152, 1064, 1141, 1140, 1138, 1134, 1510, 1132, 1707, 1708, 1529, 1190, 1118, 1117, 1104, 1103, 1099, 1098, 1097, 1096, 1094, 1077, 1153, 1115, 1070, 1107, 1184, 1075, 1079, 1346, 1130, 1202, 1063, 1112, 1078, 1116, 1154, 1519, 1114, 1067, 1113, 1156, 1062, 1108, 1143, 1161, 1073, 1074, 1076, 1142, 1151, 1430, 1139, 1102, 1068, 1109, 1137, 1155, 1273, 1411]",1
Monografia,"[1968, 1954, 1955, 1957, 1829, 2070, 1836, 1837, 2084, 1820, 1979, 1851, 1821, 1922, 1842, 1925, 2020, 1927, 2043, 1863, 1960, 2008, 1921, 1933, 1838, 2026, 2028, 1924, 1934, 1969, 1840, 1915, 2031, 1996, 2023, 2009, 2030, 1850, 2025, 1856, 2022, 1918, 1962, 2001, 2027, 1929, 1854, 1964, 1843, 1930, 2003, 2014, 1846, 2032, 1932, 2018, 2016, 2005, 2017, 1848, 1931, 1973, 2035, 2040, 1855, 2075, 1970, 2088, 1861, 2042, 1868, 1809, 2041, 2036, 2047, 1862, 1867, 1945, 2086, 2089, 2048, 2059, 1857, 2078, 2077, 1871, 2044, 2082, 1812, 2038, 2052, 1939, 2079, 1946, 2090, 1972, 1953, 1976, 1864, 2039, 2060, 2049, 1942, 1813, 2054, 2050, 2053, 1952, 2085, 2057, 1872, 1814, 1808, 1980, 1982, 1815, 1948, 2058, 1816, 1824, 2071, 1949, 1823, 1983, 2073, 1981, 2061, 2068, 1819, 1950, 1833, 2062, 1831, 2066, 1822, 1825, 1951, 2065, 1830, 2064, 2069, 1827, 2004, 2007, 1971, 2002, 1944, 1916, 1997, 1844, 2013, 1914, 1998, 661, 1999, 1995, 2000, 2012, 2010, 2034, 1936]",2
outros,[949],3
artigo,946,4
dissertacao,[2029],5
TCC,[],6
Dissertacao,[2063],7
Dissertação,"[1908, 1779, 1738, 1937, 1909, 1532, 1617, 1426, 1611, 1624, 1527, 1635, 1625, 1645, 1619, 1272, 1267, 827, 837, 1177, 878, 1751, 1012, 1227, 1230, 1176, 292, 639]",8
Dissertacão,[],9
Tese,[],10
